trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1176,False,"{'a': 0.6, 'e': 0.004008283858762958}",25,14,20.52448482865109,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1177,False,"{'a': 0.6, 'e': 0.003920587056385298}",25,10,25.531526889485207,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1178,False,"{'a': 0.6, 'e': 0.003834468966982784}",25,14,20.324163327849032,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1179,False,"{'a': 0.6, 'e': 0.003749908683381136}",30,18,25.430412265171725,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1180,False,"{'a': 0.6, 'e': 0.0036668854318843923}",25,13,11.236790203591388,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
1181,False,"{'a': 0.6, 'e': 0.0035853785738409246}",25,11,29.78647787474283,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1182,False,"{'a': 0.6, 'e': 0.003505367607169269}",20,13,13.427801635883755,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1183,False,"{'a': 0.6, 'e': 0.003426832167842898}",25,15,16.535370072471043,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1184,False,"{'a': 0.6, 'e': 0.003349752031334489}",20,12,13.835048939998526,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1185,False,"{'a': 0.6, 'e': 0.0032741071140188586}",20,10,17.606377674517134,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1186,False,"{'a': 0.6, 'e': 0.0031998774745350886}",20,8,24.691543517942716,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1187,False,"{'a': 0.6, 'e': 0.003127043315107124}",20,11,13.616736186875013,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1188,False,"{'a': 0.6, 'e': 0.0030555849828233263}",25,16,17.899029318854065,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1189,False,"{'a': 0.6, 'e': 0.002985482970874336}",30,14,34.464136663055825,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1190,False,"{'a': 0.6, 'e': 0.0029167179197497326}",20,14,11.176253193582715,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1191,False,"{'a': 0.6, 'e': 0.0028492706183929043}",30,16,30.216152073029612,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
